run_id,task_success,constraint_satisfaction,failure_count,critical_failure_count,cascading_failure_count,recovery_success_rate,tool_efficiency,trajectory_efficiency,grounding_score,final_answer_score,reliability_score
run_000034,True,1.0,0,0,0,,0.5,1.0,1.0,1.0,0.95
run_000035,True,1.0,0,0,0,,0.5,1.0,1.0,1.0,0.95
run_000036,True,1.0,2,0,0,1.0,0.375,0.778,1.0,1.0,0.937
run_000037,True,1.0,1,0,0,1.0,0.333,1.0,1.0,1.0,0.933
run_000038,True,0.5,3,0,0,0.6666666666666666,0.364,0.583,0.667,0.5,0.87
run_000039,True,1.0,0,0,0,,0.4,1.0,0.6,1.0,0.94
run_000040,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000041,True,1.0,0,0,0,,0.375,1.0,1.0,1.0,0.937
run_000042,True,0.5,1,0,0,0.0,0.333,1.0,0.5,0.5,0.733
run_000043,True,0.5,2,0,0,0.5,0.364,1.0,0.5,0.5,0.836
run_000044,True,1.0,0,0,0,,0.429,1.0,1.0,1.0,0.943
run_000045,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000046,False,0.0,1,1,0,0.0,0.429,1.0,0.5,0.0,0.043
run_000047,False,0.0,1,1,0,0.0,0.4,1.0,0.4,0.0,0.04
run_000048,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000049,True,1.0,0,0,0,,0.429,1.0,0.667,1.0,0.943
run_000050,True,1.0,0,0,0,,0.375,1.0,0.8,1.0,0.937
run_000051,True,1.0,1,0,0,1.0,0.333,1.0,1.0,1.0,0.933
run_000052,True,1.0,0,0,0,,0.5,1.0,1.0,1.0,0.95
run_000053,True,1.0,0,0,0,,0.4,1.0,1.0,1.0,0.94
run_000054,False,0.0,3,1,1,0.0,0.353,0.737,0.5,0.0,0.035
run_000055,True,1.0,0,0,0,,0.4,1.0,1.0,1.0,0.94
run_000056,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000057,True,1.0,0,0,0,,0.4,1.0,1.0,1.0,0.94
run_000058,True,0.5,2,0,1,0.0,0.429,0.889,0.5,0.5,0.743
run_000059,True,1.0,0,0,0,,0.5,1.0,0.5,1.0,0.95
run_000060,True,1.0,2,0,0,1.0,0.357,0.875,0.8,1.0,0.936
run_000061,True,0.5,1,0,0,0.0,0.429,1.0,1.0,0.5,0.743
run_000062,False,0.0,2,1,1,0.5,0.4,1.0,0.667,0.0,0.14
run_000063,True,0.5,2,0,0,0.5,0.429,0.737,0.333,0.5,0.843
run_000064,True,1.0,1,0,0,1.0,0.333,1.0,1.0,1.0,0.933
run_000065,True,1.0,2,0,0,1.0,0.375,0.727,0.5,1.0,0.937
run_000066,True,1.0,0,0,0,,0.4,1.0,1.0,1.0,0.94
run_000067,True,1.0,0,0,0,,0.5,1.0,0.667,1.0,0.95
run_000068,True,1.0,0,0,0,,0.333,1.0,0.8,1.0,0.933
run_000069,True,1.0,1,0,0,1.0,0.333,1.0,1.0,1.0,0.933
run_000070,False,0.0,1,1,0,0.0,0.333,1.0,0.75,0.0,0.033
run_000071,True,0.5,3,0,1,0.6666666666666666,0.333,0.609,0.5,0.5,0.867
run_000072,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000073,True,1.0,3,0,0,1.0,0.417,0.933,1.0,1.0,0.942
run_000074,False,0.0,3,1,0,0.6666666666666666,0.429,0.778,0.667,0.0,0.176
run_000075,True,0.5,3,0,0,0.3333333333333333,0.35,0.636,0.75,0.5,0.802
run_000076,True,1.0,0,0,0,,0.4,1.0,0.333,1.0,0.94
run_000077,True,1.0,0,0,0,,0.4,1.0,1.0,1.0,0.94
run_000078,True,1.0,0,0,0,,0.333,1.0,0.5,1.0,0.933
run_000079,True,1.0,0,0,0,,0.375,1.0,1.0,1.0,0.937
run_000080,True,0.5,2,0,0,0.5,0.35,0.636,0.25,0.5,0.835
run_000081,True,1.0,0,0,0,,0.333,0.824,1.0,1.0,0.933
run_000082,True,0.5,4,0,0,0.25,0.375,0.778,1.0,0.5,0.787
run_000083,True,1.0,0,0,0,,0.333,0.824,1.0,1.0,0.933
run_000084,False,0.0,1,1,0,0.0,0.333,0.824,0.333,0.0,0.033
run_000085,False,0.0,1,1,0,0.0,0.333,1.0,0.333,0.0,0.033
run_000086,True,1.0,0,0,0,,0.333,1.0,0.75,1.0,0.933
run_000087,True,1.0,1,0,0,1.0,0.333,0.7,1.0,1.0,0.933
run_000088,True,0.5,1,0,0,0.0,0.333,0.824,0.8,0.5,0.733
run_000089,False,0.0,2,1,1,0.0,0.357,0.875,0.5,0.0,0.036
run_000090,True,1.0,0,0,0,,0.364,1.0,1.0,1.0,0.936
run_000091,True,1.0,2,0,0,1.0,0.385,0.933,1.0,1.0,0.938
run_000092,False,0.0,1,1,0,0.0,0.429,1.0,0.5,0.0,0.043
run_000093,True,1.0,0,0,0,,0.364,1.0,0.8,1.0,0.936
run_000094,True,1.0,1,0,0,1.0,0.333,1.0,0.75,1.0,0.933
run_000095,False,0.0,1,1,0,0.0,0.333,1.0,0.5,0.0,0.033
run_000096,True,1.0,0,0,0,,0.5,1.0,0.667,1.0,0.95
run_000097,True,1.0,0,0,0,,0.375,1.0,1.0,1.0,0.937
run_000098,True,0.5,3,0,1,0.3333333333333333,0.538,0.667,1.0,0.5,0.82
run_000099,True,0.5,1,0,0,0.0,0.375,1.0,0.6,0.5,0.737
run_000100,True,0.5,1,0,0,0.0,0.375,0.778,0.75,0.5,0.737
run_000101,True,1.0,0,0,0,,0.4,1.0,0.8,1.0,0.94
run_000102,True,1.0,0,0,0,,0.364,1.0,1.0,1.0,0.936
run_000103,True,1.0,0,0,0,,0.375,1.0,0.75,1.0,0.937
run_000104,True,1.0,0,0,0,,0.4,1.0,0.5,1.0,0.94
run_000105,True,1.0,0,0,0,,0.364,1.0,0.8,1.0,0.936
run_000106,False,0.0,1,1,0,0.0,0.375,1.0,0.333,0.0,0.038
run_000107,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000108,True,1.0,2,0,1,1.0,0.375,0.778,0.8,1.0,0.937
run_000109,True,0.5,3,0,1,0.3333333333333333,0.368,0.667,1.0,0.5,0.803
run_000110,True,0.5,1,0,0,0.0,0.333,1.0,0.667,0.5,0.733
run_000111,True,0.5,1,0,0,0.0,0.5,1.0,0.75,0.5,0.75
run_000112,True,1.0,0,0,0,,0.429,1.0,1.0,1.0,0.943
run_000113,True,1.0,2,0,0,1.0,0.353,0.737,1.0,1.0,0.935
run_000114,True,0.5,4,0,2,0.5,0.333,0.7,0.4,0.5,0.833
run_000115,False,0.0,1,1,0,0.0,0.667,1.0,0.2,0.0,0.067
run_000116,True,1.0,0,0,0,,0.667,1.0,1.0,1.0,0.967
run_000117,True,0.5,1,0,0,0.0,0.333,1.0,0.8,0.5,0.733
run_000118,True,1.0,1,0,0,1.0,0.6,0.8,1.0,1.0,0.96
run_000119,True,1.0,0,0,0,,0.333,1.0,0.667,1.0,0.933
run_000120,True,0.5,4,0,0,0.75,0.333,0.438,0.5,0.5,0.883
run_000121,True,0.5,2,0,1,0.0,0.368,0.667,0.6,0.5,0.737
run_000122,True,1.0,0,0,0,,0.333,1.0,0.75,1.0,0.933
run_000123,True,1.0,0,0,0,,0.667,1.0,1.0,1.0,0.967
run_000124,True,1.0,0,0,0,,0.4,1.0,0.75,1.0,0.94
run_000125,True,1.0,1,0,0,1.0,0.333,1.0,0.8,1.0,0.933
run_000126,True,0.5,3,0,1,0.6666666666666666,0.375,0.778,0.25,0.5,0.871
run_000127,False,0.0,1,1,0,0.0,0.4,1.0,0.0,0.0,0.04
run_000128,True,1.0,1,0,0,1.0,0.714,0.933,0.5,1.0,0.971
run_000129,True,1.0,1,0,0,1.0,0.333,1.0,1.0,1.0,0.933
run_000130,True,1.0,0,0,0,,0.4,1.0,1.0,1.0,0.94
run_000131,True,1.0,0,0,0,,0.5,1.0,0.8,1.0,0.95
run_000132,True,1.0,0,0,0,,0.667,1.0,1.0,1.0,0.967
run_000133,True,0.5,3,1,1,0.6666666666666666,0.357,0.875,0.25,0.5,0.669
run_000134,True,1.0,2,0,0,1.0,0.385,0.933,0.5,1.0,0.938
run_000135,True,1.0,2,0,0,1.0,0.333,1.0,1.0,1.0,0.933
run_000136,True,1.0,0,0,0,,0.375,1.0,1.0,1.0,0.937
run_000137,True,1.0,2,0,0,1.0,0.333,0.7,1.0,1.0,0.933
run_000138,False,0.0,3,1,1,0.0,0.364,0.583,0.5,0.0,0.036
run_000139,False,0.0,1,1,0,0.0,0.353,0.737,0.667,0.0,0.035
run_000140,True,0.5,1,0,0,0.0,0.364,1.0,0.8,0.5,0.736
run_000141,True,1.0,3,0,0,1.0,0.346,0.5,1.0,1.0,0.935
run_000142,True,1.0,0,0,0,,0.375,0.778,0.8,1.0,0.937
run_000143,False,0.0,2,1,0,0.5,0.35,0.636,0.2,0.0,0.135
run_000144,True,1.0,4,0,0,1.0,0.4,0.737,0.6,1.0,0.94
run_000145,True,1.0,0,0,0,,0.385,0.933,1.0,1.0,0.938
run_000146,True,0.5,3,0,1,0.6666666666666666,0.357,0.467,0.8,0.5,0.869
run_000147,True,1.0,2,1,1,1.0,0.333,0.609,1.0,1.0,0.733
run_000148,True,0.5,3,0,0,0.6666666666666666,0.353,0.737,0.8,0.5,0.869
run_000149,True,1.0,0,0,0,,0.5,1.0,1.0,1.0,0.95
run_000150,True,1.0,1,0,0,1.0,0.4,1.0,1.0,1.0,0.94
run_000151,True,1.0,1,0,0,1.0,0.429,0.889,1.0,1.0,0.943
run_000152,True,1.0,1,0,0,1.0,0.429,1.0,1.0,1.0,0.943
run_000153,True,1.0,0,0,0,,0.429,1.0,1.0,1.0,0.943
run_000154,True,0.5,3,0,0,0.6666666666666666,0.333,0.824,0.8,0.5,0.867
run_000155,True,0.5,1,0,0,0.0,0.385,0.933,0.5,0.5,0.738
run_000156,False,0.0,1,1,0,0.0,0.429,1.0,0.5,0.0,0.043
run_000157,True,0.5,3,0,0,0.6666666666666666,0.357,0.875,0.5,0.5,0.869
run_000158,True,0.5,3,0,0,0.3333333333333333,0.375,1.0,0.667,0.5,0.804
run_000159,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000160,True,1.0,0,0,0,,0.364,1.0,0.8,1.0,0.936
run_000161,False,0.0,1,1,0,0.0,0.333,0.7,0.75,0.0,0.033
run_000162,False,0.0,1,1,0,0.0,0.333,1.0,0.4,0.0,0.033
run_000163,True,0.5,1,0,0,0.0,0.333,0.824,0.667,0.5,0.733
run_000164,True,1.0,3,0,0,1.0,0.333,0.824,1.0,1.0,0.933
run_000165,True,0.5,2,0,0,0.0,0.353,0.737,0.5,0.5,0.735
run_000166,False,0.0,3,1,0,0.6666666666666666,0.5,0.778,0.4,0.0,0.183
run_000167,True,1.0,0,0,0,,0.429,1.0,0.6,1.0,0.943
run_000168,True,0.5,1,0,0,0.0,0.5,1.0,0.5,0.5,0.75
run_000169,True,0.5,3,0,0,0.6666666666666666,0.333,0.609,0.5,0.5,0.867
run_000170,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000171,False,0.0,1,1,0,0.0,0.333,0.7,0.667,0.0,0.033
run_000172,False,0.0,3,1,1,0.3333333333333333,0.333,0.7,0.6,0.0,0.1
run_000173,True,0.5,4,0,0,0.25,0.345,0.452,1.0,0.5,0.784
run_000174,True,1.0,1,0,0,1.0,0.333,0.609,1.0,1.0,0.933
run_000175,True,1.0,4,0,0,1.0,0.357,0.467,0.8,1.0,0.936
run_000176,False,0.0,4,1,1,0.25,0.375,0.737,0.25,0.0,0.088
run_000177,True,1.0,1,0,0,1.0,0.4,1.0,0.0,1.0,0.94
run_000178,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000179,True,1.0,0,0,0,,0.333,1.0,0.75,1.0,0.933
run_000180,False,0.0,1,1,0,0.0,0.333,1.0,0.25,0.0,0.033
run_000181,True,1.0,1,0,0,1.0,0.333,0.727,1.0,1.0,0.933
run_000182,False,0.0,1,1,0,0.0,0.4,1.0,0.2,0.0,0.04
run_000183,True,1.0,1,0,0,1.0,0.385,0.933,1.0,1.0,0.938
run_000184,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000185,True,1.0,1,0,0,1.0,0.4,1.0,1.0,1.0,0.94
run_000186,True,1.0,0,0,0,,0.5,1.0,1.0,1.0,0.95
run_000187,False,0.0,1,1,0,0.0,0.5,1.0,0.0,0.0,0.05
run_000188,True,0.5,4,0,1,0.5,0.333,0.609,0.333,0.5,0.833
run_000189,True,0.5,4,0,0,0.75,0.381,0.56,0.6,0.5,0.888
run_000190,False,0.0,1,1,0,0.0,0.6,0.8,0.5,0.0,0.06
run_000191,True,1.0,0,0,0,,0.4,1.0,1.0,1.0,0.94
run_000192,True,0.5,1,0,0,0.0,0.5,1.0,1.0,0.5,0.75
run_000193,True,1.0,1,0,0,1.0,0.375,0.8,0.8,1.0,0.937
run_000194,True,1.0,0,0,0,,0.667,1.0,0.667,1.0,0.967
run_000195,True,1.0,0,0,0,,0.667,1.0,1.0,1.0,0.967
run_000196,True,1.0,0,0,0,,0.667,1.0,1.0,1.0,0.967
run_000197,True,1.0,0,0,0,,0.5,1.0,1.0,1.0,0.95
run_000198,True,1.0,0,0,0,,0.5,1.0,1.0,1.0,0.95
run_000199,False,0.0,1,1,0,0.0,0.667,1.0,0.333,0.0,0.067
run_000200,True,1.0,2,0,0,1.0,0.429,0.889,1.0,1.0,0.943
run_000201,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000202,True,1.0,1,0,0,1.0,0.6,0.889,1.0,1.0,0.96
run_000203,True,0.5,3,0,0,0.6666666666666666,0.455,0.875,0.25,0.5,0.879
run_000204,True,1.0,0,0,0,,0.375,1.0,1.0,1.0,0.937
run_000205,True,1.0,0,0,0,,0.375,1.0,1.0,1.0,0.937
run_000206,False,0.0,2,1,0,0.5,0.4,1.0,0.25,0.0,0.14
run_000207,True,0.5,1,0,0,0.0,0.4,1.0,1.0,0.5,0.74
run_000208,False,0.0,2,1,0,0.5,0.375,0.8,0.667,0.0,0.138
run_000209,True,1.0,0,0,0,,0.5,1.0,1.0,1.0,0.95
run_000210,True,1.0,0,0,0,,0.429,1.0,0.8,1.0,0.943
run_000211,True,0.5,2,0,0,0.5,0.333,1.0,0.5,0.5,0.833
run_000212,True,1.0,0,0,0,,0.364,1.0,1.0,1.0,0.936
run_000213,True,0.5,1,0,0,0.0,0.333,1.0,1.0,0.5,0.733
run_000214,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000215,True,1.0,0,0,0,,0.5,1.0,0.667,1.0,0.95
run_000216,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000217,True,1.0,0,0,0,,0.667,1.0,0.667,1.0,0.967
run_000218,False,0.0,2,1,1,0.5,0.348,0.56,0.0,0.0,0.135
run_000219,True,1.0,1,0,0,1.0,0.35,0.636,0.667,1.0,0.935
run_000220,True,1.0,1,0,0,1.0,0.385,0.933,0.5,1.0,0.938
run_000221,True,0.5,3,0,0,0.6666666666666666,0.375,0.778,0.667,0.5,0.871
run_000222,True,0.5,4,0,1,0.5,0.346,0.483,0.5,0.5,0.835
run_000223,True,0.5,3,0,2,0.6666666666666666,0.333,0.538,0.8,0.5,0.867
run_000224,False,0.0,1,1,0,0.0,0.357,0.875,0.2,0.0,0.036
run_000225,True,1.0,0,0,0,,0.4,1.0,0.667,1.0,0.94
run_000226,True,1.0,1,0,0,1.0,0.333,1.0,1.0,1.0,0.933
run_000227,True,1.0,1,0,0,1.0,0.385,0.933,1.0,1.0,0.938
run_000228,True,0.5,2,0,0,0.5,0.375,0.778,1.0,0.5,0.837
run_000229,True,1.0,0,0,0,,0.4,1.0,1.0,1.0,0.94
run_000230,True,1.0,1,0,0,1.0,0.385,0.933,1.0,1.0,0.938
run_000231,True,1.0,0,0,0,,0.333,1.0,0.667,1.0,0.933
run_000232,True,1.0,1,0,0,1.0,0.667,1.0,0.75,1.0,0.967
run_000233,True,1.0,0,0,0,,0.4,1.0,1.0,1.0,0.94
run_000234,True,1.0,1,0,0,1.0,0.6,0.8,1.0,1.0,0.96
run_000235,True,1.0,0,0,0,,0.667,1.0,1.0,1.0,0.967
run_000236,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000237,True,0.5,1,0,0,0.0,0.364,1.0,1.0,0.5,0.736
run_000238,True,0.5,3,0,0,0.6666666666666666,0.364,0.583,0.25,0.5,0.87
run_000239,True,1.0,1,0,0,1.0,0.368,0.667,1.0,1.0,0.937
run_000240,True,0.5,4,0,0,0.5,0.36,0.5,0.6,0.5,0.836
run_000241,True,0.5,1,0,0,0.0,0.333,0.824,0.2,0.5,0.733
run_000242,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000243,True,1.0,1,0,0,1.0,0.364,1.0,1.0,1.0,0.936
run_000244,False,0.0,1,1,0,0.0,0.368,0.667,0.0,0.0,0.037
run_000245,True,1.0,1,0,0,1.0,0.35,0.636,1.0,1.0,0.935
run_000246,False,0.0,3,1,2,0.3333333333333333,0.333,0.538,0.0,0.0,0.1
run_000247,True,0.5,2,0,1,0.5,0.353,0.737,0.8,0.5,0.835
run_000248,True,1.0,0,0,0,,0.375,1.0,1.0,1.0,0.937
run_000249,True,0.5,1,0,0,0.0,0.385,0.933,0.5,0.5,0.738
run_000250,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000251,True,1.0,0,0,0,,0.333,1.0,0.75,1.0,0.933
run_000252,True,0.5,2,0,0,0.5,0.444,0.615,0.667,0.5,0.844
run_000253,False,0.0,1,1,0,0.0,0.368,0.667,0.667,0.0,0.037
run_000254,False,0.0,1,1,0,0.0,0.368,0.667,0.4,0.0,0.037
run_000255,True,0.5,4,0,2,0.5,0.364,0.538,0.333,0.5,0.836
run_000256,False,0.0,1,1,0,0.0,0.385,0.933,0.0,0.0,0.039
run_000257,True,1.0,0,0,0,,0.4,1.0,1.0,1.0,0.94
run_000258,True,1.0,0,0,0,,0.4,1.0,0.6,1.0,0.94
run_000259,True,1.0,0,0,0,,0.5,1.0,1.0,1.0,0.95
run_000260,True,1.0,0,0,0,,0.667,1.0,0.667,1.0,0.967
run_000261,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000262,False,0.0,1,1,0,0.0,0.429,1.0,0.5,0.0,0.043
run_000263,False,0.0,1,1,0,0.0,0.5,1.0,0.5,0.0,0.05
run_000264,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000265,True,0.5,3,0,0,0.6666666666666666,0.375,0.778,0.5,0.5,0.871
run_000266,True,1.0,0,0,0,,0.364,1.0,0.8,1.0,0.936
run_000267,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000268,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000269,True,0.5,2,0,0,0.5,0.375,0.8,0.0,0.5,0.837
run_000270,True,1.0,1,0,0,1.0,0.455,0.824,0.8,1.0,0.945
run_000271,True,1.0,0,0,0,,0.667,1.0,1.0,1.0,0.967
run_000272,True,1.0,0,0,0,,0.364,1.0,0.667,1.0,0.936
run_000273,True,1.0,4,0,0,1.0,0.357,0.467,1.0,1.0,0.936
run_000274,True,1.0,4,0,0,1.0,0.357,0.467,0.8,1.0,0.936
run_000275,True,0.5,3,1,1,0.0,0.5,0.737,0.333,0.5,0.55
run_000276,True,1.0,2,0,0,1.0,0.429,1.0,0.333,1.0,0.943
run_000277,True,0.5,3,0,2,0.3333333333333333,0.333,0.438,1.0,0.5,0.8
run_000278,True,0.5,2,0,1,0.5,0.353,0.737,0.0,0.5,0.835
run_000279,False,0.0,4,1,0,0.75,0.333,0.7,0.2,0.0,0.183
run_000280,True,1.0,2,0,0,1.0,0.353,0.737,1.0,1.0,0.935
run_000281,True,1.0,1,0,0,1.0,0.333,1.0,0.8,1.0,0.933
run_000282,False,0.0,2,1,0,0.5,0.444,1.0,0.25,0.0,0.144
run_000283,True,0.5,2,0,1,0.0,0.333,0.824,0.5,0.5,0.733
run_000284,True,1.0,0,0,0,,0.364,1.0,1.0,1.0,0.936
run_000285,True,0.5,2,0,0,0.5,0.364,0.583,0.5,0.5,0.836
run_000286,True,1.0,0,0,0,,0.5,1.0,1.0,1.0,0.95
run_000287,True,1.0,0,0,0,,0.333,1.0,0.75,1.0,0.933
run_000288,True,1.0,0,0,0,,0.667,1.0,0.6,1.0,0.967
run_000289,True,1.0,0,0,0,,0.4,1.0,1.0,1.0,0.94
run_000290,True,1.0,0,0,0,,0.5,1.0,1.0,1.0,0.95
run_000291,True,1.0,0,0,0,,0.4,1.0,1.0,1.0,0.94
run_000292,True,1.0,0,0,0,,0.667,1.0,1.0,1.0,0.967
run_000293,True,1.0,2,0,0,1.0,0.353,0.737,1.0,1.0,0.935
run_000294,True,1.0,0,0,0,,0.385,0.933,1.0,1.0,0.938
run_000295,True,0.5,3,0,0,0.6666666666666666,0.438,0.667,0.2,0.5,0.877
run_000296,True,1.0,0,0,0,,0.375,1.0,1.0,1.0,0.937
run_000297,True,1.0,0,0,0,,0.4,1.0,1.0,1.0,0.94
run_000298,True,0.5,1,0,0,0.0,0.667,1.0,0.2,0.5,0.767
run_000299,True,1.0,0,0,0,,0.5,1.0,1.0,1.0,0.95
run_000300,False,0.0,1,1,0,0.0,0.35,0.636,1.0,0.0,0.035
run_000301,True,1.0,0,0,0,,0.5,1.0,1.0,1.0,0.95
run_000302,True,0.5,1,0,0,0.0,0.375,0.8,0.6,0.5,0.737
run_000303,True,1.0,0,0,0,,0.5,1.0,1.0,1.0,0.95
run_000304,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000305,True,0.5,1,0,0,0.0,0.364,1.0,0.667,0.5,0.736
run_000306,True,1.0,0,0,0,,0.667,1.0,1.0,1.0,0.967
run_000307,False,0.0,1,1,0,0.0,0.667,1.0,0.25,0.0,0.067
run_000308,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000309,False,0.0,2,1,1,0.0,0.353,0.737,0.4,0.0,0.035
run_000310,True,1.0,0,0,0,,0.353,0.737,1.0,1.0,0.935
run_000311,True,1.0,2,0,0,1.0,0.375,0.7,1.0,1.0,0.937
run_000312,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000313,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000314,True,0.5,1,0,0,0.0,0.333,1.0,0.75,0.5,0.733
run_000315,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000316,True,1.0,1,0,0,1.0,0.333,1.0,1.0,1.0,0.933
run_000317,False,0.0,2,1,0,0.5,0.333,1.0,0.75,0.0,0.133
run_000318,True,1.0,1,0,0,1.0,0.385,0.933,1.0,1.0,0.938
run_000319,True,1.0,1,0,0,1.0,0.4,1.0,0.5,1.0,0.94
run_000320,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000321,True,0.5,2,0,0,0.5,0.556,0.875,0.5,0.5,0.856
run_000322,True,0.5,3,0,0,0.3333333333333333,0.35,0.636,0.5,0.5,0.802
run_000323,True,0.5,2,0,0,0.5,0.333,1.0,0.4,0.5,0.833
run_000324,True,0.5,1,0,0,0.0,0.375,1.0,0.75,0.5,0.737
run_000325,True,1.0,4,0,0,1.0,0.333,0.438,0.4,1.0,0.933
run_000326,False,0.0,4,1,1,0.5,0.381,0.538,0.4,0.0,0.138
run_000327,True,0.5,2,0,0,0.5,0.353,0.737,0.667,0.5,0.835
run_000328,True,0.5,1,0,0,0.0,0.4,1.0,0.5,0.5,0.74
run_000329,True,0.5,1,0,0,0.0,0.4,1.0,0.5,0.5,0.74
run_000330,True,0.5,2,0,0,0.5,0.4,0.667,0.6,0.5,0.84
run_000331,True,1.0,0,0,0,,0.667,1.0,0.5,1.0,0.967
run_000332,True,0.5,1,0,0,0.0,0.333,1.0,1.0,0.5,0.733
run_000333,True,0.5,4,0,0,0.75,0.357,0.875,0.4,0.5,0.886
run_000334,False,0.0,1,1,0,0.0,0.375,1.0,0.4,0.0,0.038
run_000335,True,1.0,0,0,0,,0.375,1.0,1.0,1.0,0.937
run_000336,True,0.5,3,0,0,0.6666666666666666,0.364,1.0,1.0,0.5,0.87
run_000337,True,1.0,1,0,0,1.0,0.4,1.0,0.8,1.0,0.94
run_000338,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000339,True,1.0,2,0,0,1.0,0.333,1.0,1.0,1.0,0.933
run_000340,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000341,True,1.0,2,0,0,1.0,0.4,0.667,1.0,1.0,0.94
run_000342,True,1.0,1,0,0,1.0,0.75,0.8,1.0,1.0,0.975
run_000343,True,1.0,0,0,0,,0.333,1.0,1.0,1.0,0.933
run_000344,False,0.0,1,1,0,0.0,0.364,1.0,0.75,0.0,0.036
